;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
126;160030305000010;4.18;2540.92;1309.69;2029.82;142;135;3;31;11;11;24;28;31;171085;593;570;8;96;593;277;316;669632;669632;0;47;7;63;8;7
127;160030305000011;3.66;3258.75;1732.8;2669.29;410;311;92;101;39;39;83;94;78;5432167;1499;1214;267;259;1499;699;800;2267144;2267144;0;109;51;175;22;33
128;160030305000012;3.36;2716.83;1599.14;2275.6;294;202;9;69;37;37;66;70;52;4010125;989;728;30;179;989;425;564;1394170;1394170;0;75;33;149;14;13
129;160030305000013;3.55;2126.47;1200.04;2104.31;200;160;37;58;35;35;37;41;43;131172;705;625;74;130;705;302;403;740067;735057;5010;52;21;79;9;6
130;160030305000014;3.74;3059.64;1570.03;2503.97;152;114;32;48;15;15;37;23;32;171473;568;469;75;132;568;246;322;776225;776225;0;40;13;74;8;11
131;160030305000015;3.73;2605.2;1353.0;2181.65;291;245;46;58;36;36;55;61;67;272164;1085;982;103;143;1085;515;570;1256612;1256612;0;83;26;116;21;16
132;160030305000016;3.74;4527.71;2523.91;3646.72;228;206;14;44;23;23;40;57;48;2214124;852;798;36;127;852;376;476;1917153;1917153;0;26;12;117;21;38
133;160030305000017;3.83;2695.66;1440.11;2317.03;183;154;25;56;20;20;26;42;37;311083;700;610;82;166;700;325;375;882790;882790;0;69;21;57;7;14
134;160030305000018;3.84;2198.19;1174.66;1794.26;295;285;8;71;36;36;49;67;45;4026149;1132;1105;17;165;1132;545;587;1130913;1130913;0;123;39;88;9;15
135;160030305000019;3.72;3180.97;1726.06;2480.97;398;301;57;103;58;58;74;69;82;5026169;1482;1265;137;278;1482;702;780;2212700;2212700;0;96;43;180;31;34
136;160030305000020;3.78;3223.12;1769.39;2628.94;168;159;8;40;24;24;28;35;23;2416123;635;616;16;97;635;297;338;1013909;1013909;0;44;19;76;8;14
137;160030305000021;3.65;3456.39;1791.32;3186.45;238;206;15;56;25;25;50;51;53;281068;869;792;32;161;869;380;489;1354240;1354240;0;44;26;93;12;26
138;160030305000022;3.8;2597.94;1430.56;2367.7;209;195;12;39;26;26;31;36;53;33975;793;763;23;93;793;371;422;953675;952655;1020;58;14;84;11;13
139;160030305000023;4.79;1141.47;541.73;973.69;206;184;16;26;11;11;25;38;30;3722196;983;899;72;86;983;487;496;442053;441253;800;122;23;41;1;1
140;160030305000024;4.82;919.05;447.06;805.18;89;84;0;13;7;7;9;16;15;111264;422;413;0;40;422;206;216;149254;148244;1010;60;8;10;0;1
141;160030305000025;4.62;510.9;316.99;590.26;261;259;0;4;14;14;37;46;54;3921198;1206;1202;0;14;1206;605;601;291000;291000;0;173;9;5;1;1
142;160030305000026;4.52;969.12;502.55;854.04;405;329;35;89;37;37;60;69;67;61372618;1832;1636;86;275;1832;919;913;745099;745099;0;275;42;55;2;2
