;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
2768;510525905000003;3.02;2319.81;1297.31;2115.18;200;187;13;97;42;42;42;43;46;18511;603;565;38;268;603;309;294;681088;681088;0;65;22;71;4;11
2769;510525905000004;3.32;3147.83;1684.7;2383.32;276;264;0;87;13;13;56;85;68;301020;889;876;0;293;889;450;439;1295872;1282872;13000;50;40;130;16;16
2770;510525905000006;3.0;1203.91;727.02;1106.07;67;61;0;32;5;5;19;23;12;7100;201;191;0;101;201;108;93;129410;129410;0;28;17;14;0;0
2771;510525905000007;3.0;4805.65;2685.59;3961.25;23;23;0;10;3;3;5;6;7;2000;69;69;0;33;69;34;35;156750;156750;0;2;4;6;2;6
2772;510525905000008;3.22;1621.71;969.63;1307.64;197;161;7;105;21;21;47;52;46;18821;634;552;14;318;634;316;318;511862;511862;0;88;37;63;2;1
2773;510525905000009;3.16;2034.81;1235.6;1696.52;162;118;23;95;21;21;46;36;30;131301;512;381;74;309;512;255;257;539841;539841;0;59;30;57;2;4
2774;510525905000010;3.46;900.4;649.16;967.24;334;326;0;153;34;34;65;82;79;362574;1156;1134;0;523;1156;600;556;627737;627737;0;185;45;43;0;1
2775;510525905000011;3.5;1082.59;689.28;1088.77;180;178;0;95;21;21;35;39;40;211163;625;623;0;326;625;325;300;361060;358155;2905;88;29;30;0;1
2776;510525905000012;3.74;1321.8;758.57;1157.0;278;278;0;70;10;10;54;80;62;361787;1040;1040;0;247;1040;533;507;615887;615887;0;119;63;77;0;0
2777;510525905000013;3.75;1286.32;696.81;1189.9;314;314;0;74;25;25;53;70;75;4922107;1177;1177;0;262;1177;595;582;638976;638976;0;130;56;77;1;4
2778;510525905000014;3.64;1351.24;815.74;1238.06;412;405;5;154;28;28;74;103;101;582998;1498;1479;13;553;1498;793;705;978069;978069;0;172;87;99;2;5
2779;510525905000015;3.09;1349.8;1121.74;1619.0;273;258;15;135;38;38;65;67;66;24750;843;795;48;399;843;419;424;785217;785217;0;103;34;67;2;5
2780;510525905000016;3.58;1591.73;902.76;1357.78;254;249;5;135;20;20;42;69;63;302161;909;895;14;493;909;457;452;672860;672860;0;96;79;64;1;4
2781;510525905000017;3.32;1446.47;821.86;1228.72;327;326;0;164;34;34;71;82;79;3711110;1087;1081;0;516;1087;594;493;743394;743394;0;144;74;73;4;4
2782;510525905000018;3.56;1146.94;678.4;995.4;340;338;0;71;21;21;68;86;93;381796;1211;1204;0;226;1211;619;592;653400;653400;0;166;81;64;0;1
2783;510525905000019;3.83;1535.78;789.94;1191.28;59;58;0;20;3;3;6;17;21;5222;226;222;0;82;226;121;105;147719;147719;0;27;11;15;0;2
2784;510525905000020;3.29;1530.58;1008.08;1418.47;189;189;0;95;24;24;33;58;40;21711;622;622;0;309;622;337;285;517661;517661;0;68;34;57;5;1
2785;510525905000021;3.27;1753.44;1040.34;1416.26;230;198;4;114;25;25;52;65;42;281060;753;674;12;358;753;377;376;674141;674141;0;106;42;62;4;5
2786;510525905000022;2.9;2271.0;1381.54;1995.56;10;8;2;3;0;0;4;4;1;1000;29;24;5;10;29;13;16;35920;35920;0;1;2;4;1;0
2787;510525905000023;3.25;1410.84;789.55;1322.97;205;194;9;91;20;20;46;56;43;26822;664;638;22;297;664;355;309;444519;443809;710;77;38;49;2;3
2788;510525905000024;3.28;1520.68;1247.42;1772.65;250;221;14;116;20;20;61;68;46;40740;815;733;37;367;815;417;398;872169;869669;2500;96;28;49;3;7
2789;510525905000025;2.94;1382.39;1222.35;1851.45;179;134;39;95;31;31;43;40;45;12421;527;397;109;255;527;256;271;558595;558595;0;46;38;45;0;2
2790;510525905000026;2.89;2395.0;1558.37;2154.82;340;250;20;151;38;38;96;109;67;25311;983;782;49;390;983;505;478;1319357;1319357;0;65;50;161;9;16
2791;510525905000027;3.66;909.38;811.93;1126.96;228;228;0;8;13;13;43;60;59;281084;834;834;0;25;834;464;370;554660;554660;0;126;19;34;0;0
2792;510525905000028;3.71;1563.85;1042.66;1711.03;65;52;0;3;4;4;10;17;18;7620;241;193;0;14;241;122;119;198690;198690;0;16;17;20;0;1
2793;510525905000029;3.74;1462.98;605.42;1180.26;66;24;0;1;3;3;10;15;21;10500;248;85;0;3;248;133;115;116846;112846;4000;31;16;17;0;1
2794;510525905000030;3.84;987.76;899.06;1329.77;98;98;0;1;0;0;18;25;27;18613;376;376;0;5;376;206;170;280150;280150;0;43;8;13;0;1
2795;510525905000031;3.15;2460.79;1343.94;2744.82;87;37;50;41;4;4;19;35;20;8010;274;126;148;126;274;137;137;323889;323889;0;12;13;23;5;7
2796;510525905000032;3.08;1954.92;1641.03;2247.18;111;71;39;57;16;16;27;22;30;13030;342;219;121;157;342;181;161;495564;495564;0;38;17;31;5;3
